Id,Company,Product,TypeName,Price_euros
183,HP,Spectre x360,2 in 1 Convertible,1499
184,Dell,Inspiron 5570,Notebook,1049
185,Dell,XPS 13,Ultrabook,1399
186,Lenovo,Yoga 920-13IKB,2 in 1 Convertible,1849
187,Toshiba,Satellite Pro,Notebook,793
188,Xiaomi,Mi Notebook,Notebook,1199
189,Dell,Inspiron 7773,Notebook,1549
190,Dell,XPS 15,Notebook,2397
191,Lenovo,Legion Y520-15IKBN,Gaming,779
192,Acer,Swift 7,Ultrabook,989
193,Dell,Inspiron 5770,Notebook,1085
194,Lenovo,Thinkpad Yoga,2 in 1 Convertible,2824
195,Vero,K147 (N3350/4GB/32GB/FHD/W10),Notebook,260
196,Xiaomi,Mi Notebook,Ultrabook,999.9
197,Lenovo,IdeaPad 320-17IKBR,Notebook,698
198,Dell,Inspiron 5379,2 in 1 Convertible,839
199,HP,ProBook 470,Notebook,914
200,Razer,Blade Pro,Gaming,6099
201,HP,ProBook 430,Notebook,959
202,HP,Omen 17-W295,Gaming,1379
