Id,Company,Product,TypeName,Price_euros
163,Toshiba,Satellite Pro,Notebook,447
164,Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,Notebook,403
165,Acer,Aspire A517-51G,Notebook,805
166,Dell,Inspiron 3576,Notebook,728
167,Lenovo,Legion Y520-15IKBN,Gaming,1079
168,Acer,Aspire A315-31,Notebook,348
169,MSI,GE63VR 7RE,Gaming,1799
170,Acer,Aspire 3,Notebook,363.51
171,Dell,Inspiron 5577,Gaming,1060.49
172,Acer,Aspire A517-51G,Notebook,854
173,HP,ProBook 430,Notebook,754
174,Huawei,MateBook X,Ultrabook,1349
175,HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Notebook,699
176,Lenovo,IdeaPad 320-15AST,Notebook,309
177,Toshiba,Satellite Pro,Notebook,489
178,HP,ProBook 470,Notebook,923
179,Dell,Inspiron 3567,Notebook,459
180,Acer,Aspire A315-51,Notebook,449
181,MSI,GT80S 6QF-074US,Gaming,2799
182,Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Notebook,813
