Id,Company,Product,TypeName,Price_euros
81,HP,ProBook 470,Notebook,977
82,Dell,Latitude 5590,Ultrabook,1096.16
83,Apple,"MacBook 12""",Ultrabook,1510
84,HP,ProBook 440,Notebook,860
85,Lenovo,IdeaPad 320-15AST,Notebook,399
86,Acer,Aspire 3,Notebook,395
87,Dell,Inspiron 7577,Gaming,1349
88,HP,Pavilion 15-CK000nv,Ultrabook,699
89,HP,250 G6,Notebook,598.99
90,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,1449
91,Dell,XPS 13,Ultrabook,1649
92,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,699
93,Acer,Aspire 5,Notebook,689
94,HP,Probook 430,Notebook,1197
95,Dell,Inspiron 7577,Gaming,1195
96,Asus,Zenbook UX430UA,Ultrabook,1049
97,Acer,Spin 5,2 in 1 Convertible,847
98,Dell,Inspiron 3567,Notebook,599.9
99,Dell,Inspiron 3567,Notebook,485
100,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,577
