Id,Company,Product,TypeName,Price_euros
142,HP,Envy 13-AD007nv,Notebook,699
143,Acer,Aspire 5,Notebook,655
144,Lenovo,ThinkPad E480,Notebook,1116.02
145,Lenovo,Legion Y520-15IKBN,Gaming,869
146,Toshiba,Satellite Pro,Notebook,602
147,HP,255 G6,Notebook,369
148,Asus,ZenBook UX430UA,Ultrabook,1099
149,HP,EliteBook Folio,Ultrabook,2014
150,Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,344
151,MSI,GE72MVR 7RG,Gaming,2029
152,Acer,Aspire A315-51,Notebook,447
153,Dell,Inspiron 5577,Gaming,1249.26
154,Dell,Inspiron 7567,Gaming,899
155,Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,498
156,MSI,GE73VR 7RE,Gaming,1890
157,HP,EliteBook 840,Ultrabook,1082
158,HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,619
159,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,629
160,Asus,ZenBook Flip,2 in 1 Convertible,1315
161,Dell,Inspiron 5579,2 in 1 Convertible,1049
